monto,hora,n_transacciones_1h,tiempo_ultima_transaccion,score_riesgo,pais,dispositivo,fraude
46.92680899768591,8,3,189.1165984668577,14.166179772529919,US,Android,0.0
301.0121430917521,3,2,165.12797637858117,60.04848630257392,EC,iOS,0.0
131.67456935454493,5,3,380.992633550241,45.172643952416166,US,Android,0.0
91.29425537759532,23,0,671.6745668002665,58.05906060319127,EC,Web,0.0
16.962487046234628,1,0,129.01346758708596,44.992782641239494,US,iOS,0.0
16.959629191460518,0,1,216.95682482523694,38.68312773825774,US,Android,0.0
5.983876860868068,22,2,32.23579755967901,54.199123727454136,US,Android,0.0
201.12308644799396,16,1,250.77114841209007,10.232514011159877,US,iOS,0.0
91.90821536272645,3,0,140.98030392582334,29.787029044161194,EC,Android,0.0
123.12500617045903,4,1,843.5601596940068,44.88044230695337,US,iOS,0.0
2.0799307999138623,17,1,234.01922302577128,96.80290725449922,MX,Web,0.0
350.3557475158312,12,3,664.7117909552491,28.982248608710492,BR,Android,0.0
178.6429543354675,19,0,2.2481449224757926,98.52825284037681,BR,Web,0.0
23.8687625248947,10,1,87.34682723105584,93.10664332160746,EC,Android,0.0
20.067898874966335,22,2,189.14284142825514,25.55860048176485,EC,iOS,0.0
20.261142283225706,19,1,59.00066563313268,68.01195647139143,US,Android,0.0
36.27537294604771,0,1,239.24746991870197,30.327626588656486,EC,iOS,0.0
74.39278308608544,11,0,48.45047983423984,1.0121984137800188,US,Android,0.0
56.55370667803366,12,0,261.57168013006543,14.978986554885621,EC,Android,0.0
34.42229925539415,3,1,5.297048455725081,64.06826512590519,EC,iOS,0.0
94.63708738997987,11,2,15.296757933325193,19.51913690337471,US,Android,0.0
15.023452872733866,5,1,73.14301985753887,71.35809189625711,US,Android,0.0
34.551551200240226,12,0,134.7636752689315,40.24503970678309,BR,Android,0.0
45.6277218220847,13,2,91.91503991796691,60.990527331305366,US,Android,0.0
60.893468785977504,11,4,29.549813813831705,74.84569818928836,US,Android,0.0
153.7936011030912,20,2,57.89958302290983,43.13724622442472,BR,Android,0.0
22.273586212869027,19,3,175.15952078769502,55.93842827466259,EC,Android,0.0
72.20291550331277,1,1,41.123298198575384,9.883896771702894,MX,Android,0.0
89.75047213097605,21,1,270.57096865364844,11.825112474936827,EC,iOS,0.0
4.756384975640855,11,0,56.614327433513125,91.46063341463739,EC,Android,0.0
93.533302064961,5,2,197.85388441283294,6.4238322815326265,EC,Web,0.0
18.696125197741644,21,5,335.6582520460916,52.16345347767112,BR,Web,0.0
6.726393087930424,3,3,1316.6726910496916,52.11640754244713,US,Web,0.0
297.3687793506931,23,2,50.9176143909291,28.940341387773916,EC,Android,0.0
337.06303424611724,0,2,164.9150790132214,73.37367304640478,MX,iOS,0.0
165.23315728128767,7,3,176.54190652416108,36.89672704275794,BR,Android,0.0
36.32878599687583,7,4,78.5013051247971,46.40309698934065,BR,Web,0.0
10.277731500250624,20,1,14.44143937404146,57.39290850804297,EC,Android,0.0
115.27507630986618,11,2,52.525845730186546,20.10286962133241,MX,Web,0.0
58.009084258539836,3,2,162.7925801140086,77.1206093526026,BR,Android,0.0
13.015223395444863,15,1,17.40137279521472,63.5895800361996,EC,Android,0.0
68.35472281341501,13,2,123.30099942360138,33.7350287221713,EC,iOS,0.0
3.4993721443479084,13,6,1100.4621310202544,79.64200502256944,EC,Web,0.0
240.04228873930236,1,0,195.45985107609076,75.89037246275319,EC,Web,0.0
29.94577768406861,16,3,182.02886503061683,54.12888393244963,CO,Web,0.0
108.62557985649804,23,2,742.3683959008143,98.60345282469271,EC,iOS,0.0
37.354658165762366,7,4,110.53500810184781,58.128083108665116,US,iOS,0.0
73.41108959092286,6,4,737.5474554607856,96.06471253177007,EC,iOS,0.0
79.12237979817975,12,1,102.61379446298743,16.13775806921831,EC,Android,0.0
20.438859950790576,10,2,414.18722997740866,64.81465622782878,MX,Android,0.0
349.28071327362267,18,0,516.8891753717379,45.68495330533281,EC,Android,0.0
149.22453771381407,18,1,110.4488412561591,21.43134451621014,US,iOS,0.0
280.50944192915824,9,1,512.5275844875649,71.21740902895542,US,Android,0.0
225.21519975341965,23,2,1.6601117938101995,61.21401573380455,US,Android,0.0
91.1054412383275,10,5,485.32297986998725,26.16060857363841,US,Android,0.0
254.9435379269405,15,3,1.1746335001913941,86.60881570487987,BR,Web,0.0
9.265545895311563,7,2,718.231185314397,25.363101377215212,MX,iOS,0.0
21.813469463126744,1,3,245.25601572256383,77.88225875032208,EC,iOS,0.0
4.628196568683196,13,0,382.4498287950289,25.969925866163322,MX,Android,0.0
39.35320868030868,16,3,11.032525523216275,97.28549827007413,MX,iOS,0.0
49.21302917942186,16,2,94.90295000053446,67.23615589773007,CO,Android,0.0
31.65604432088257,10,1,16.44573233794492,87.59765781302048,EC,Android,0.0
176.45578652409338,0,0,170.6210582134076,73.40184655479372,US,iOS,0.0
44.12269995298701,18,1,30.317901563118227,88.65647761206567,US,Android,0.0
32.98028401342492,0,2,72.51887727874566,85.45927640727533,BR,iOS,0.0
78.2407083207746,23,3,4.497561526577774,86.6594845075792,EC,Android,0.0
15.189814782062886,23,5,185.6380608186075,73.95992457239133,MX,Web,0.0
162.04835957747312,3,1,102.88402376442643,4.7759092842229345,US,Android,0.0
7.747586881130901,23,1,627.396603783401,27.250454136754097,US,Android,0.0
433.41463395873194,6,4,228.29589453028728,94.20197027095945,MX,Android,0.0
147.94837762415114,19,2,885.3695825391396,3.5279579385254056,MX,Android,0.0
22.153944050588596,0,1,468.2786937641567,12.962907026526427,US,iOS,0.0
0.5537420375935475,10,0,267.2339143385564,28.973204873674675,EC,iOS,0.0
168.9896777486126,12,4,62.556952610105874,49.63935457545821,EC,Android,0.0
122.70959073870446,2,3,98.16189666576982,12.7750711401039,US,iOS,0.0
130.5662908787999,23,2,617.770348983489,67.26927737219714,EC,Web,0.0
147.52145260435134,7,2,54.258870266198684,13.188680980880353,EC,iOS,0.0
7.692926551379635,11,1,233.8800063652479,11.84724804889018,EC,Android,0.0
44.38926724162325,1,0,1050.6935698194768,21.245355545576828,BR,Android,0.0
12.315010460444965,22,1,317.5229783411142,75.80078028131305,EC,Web,0.0
198.85295716582226,0,2,597.8698369472644,40.86495292652464,EC,Android,0.0
97.63011917123741,19,3,13.117901251847869,30.03377124053913,US,iOS,0.0
40.1818801251301,13,0,296.5706582547477,46.4700577059348,CO,iOS,0.0
6.566806580478289,14,2,322.32041563767154,4.528016788499134,US,Android,0.0
37.24883504103537,22,4,97.24081555862065,70.99976982842668,US,iOS,0.0
39.331421318413135,3,3,469.9651435839115,33.06345977807681,MX,Android,0.0
